,timesteps,ep_reward,num_updates,episodes
0,25,25.0,0,0
1,26,26.0,0,1
2,19,19.0,0,2
3,13,13.0,0,3
4,10,10.0,0,4
5,17,17.0,0,5
6,14,14.0,0,6
7,23,23.0,0,7
8,13,13.0,0,8
9,26,26.0,0,9
10,14,14.0,0,10
11,20,20.0,0,11
12,36,36.0,0,12
13,10,10.0,0,13
14,12,12.0,0,14
15,12,12.0,0,15
16,39,39.0,0,16
17,16,16.0,0,17
18,13,13.0,0,18
19,10,10.0,0,19
20,16,16.0,0,20
21,12,12.0,0,21
22,14,14.0,0,22
23,21,21.0,0,23
24,26,26.0,0,24
25,9,9.0,0,25
26,16,16.0,0,26
27,14,14.0,0,27
28,15,15.0,0,28
29,12,12.0,0,29
30,21,21.0,0,30
31,29,29.0,0,31
32,26,26.0,0,32
33,16,16.0,0,33
34,41,41.0,0,34
35,49,49.0,0,35
36,20,20.0,0,36
37,16,16.0,0,37
38,19,19.0,0,38
39,9,9.0,0,39
40,17,17.0,0,40
41,35,35.0,0,41
42,29,29.0,0,42
43,72,72.0,0,43
44,27,27.0,0,44
45,35,35.0,0,45
46,27,27.0,0,46
47,15,15.0,0,47
48,49,49.0,0,48
49,12,12.0,0,49
50,12,12.0,0,50
51,12,12.0,0,51
52,11,11.0,0,52
53,14,14.0,0,53
54,13,13.0,0,54
55,21,21.0,0,55
56,11,11.0,0,56
57,14,14.0,0,57
58,11,11.0,0,58
59,16,16.0,0,59
60,44,44.0,0,60
61,12,12.0,0,61
62,12,12.0,0,62
63,14,14.0,0,63
64,41,41.0,0,64
65,9,9.0,0,65
66,28,28.0,0,66
67,24,24.0,0,67
68,14,14.0,0,68
69,12,12.0,0,69
70,33,33.0,0,70
71,28,28.0,0,71
72,13,13.0,0,72
73,19,19.0,0,73
74,13,13.0,0,74
75,16,16.0,0,75
76,50,50.0,0,76
77,27,27.0,0,77
78,24,24.0,0,78
79,17,17.0,0,79
80,35,35.0,0,80
81,12,12.0,0,81
82,28,28.0,0,82
83,28,28.0,0,83
84,9,9.0,0,84
85,17,17.0,0,85
86,19,19.0,0,86
87,46,46.0,0,87
88,18,18.0,0,88
89,15,15.0,0,89
90,25,25.0,0,90
91,25,25.0,0,91
92,9,9.0,0,92
93,13,13.0,0,93
94,99,99.0,1,94
95,34,34.0,0,95
96,18,18.0,0,96
97,20,20.0,0,97
98,34,34.0,0,98
99,24,24.0,0,99
100,32,32.0,0,100
101,30,30.0,0,101
102,51,51.0,0,102
103,18,18.0,0,103
104,13,13.0,0,104
105,17,17.0,0,105
106,32,32.0,0,106
107,16,16.0,0,107
108,12,12.0,0,108
109,20,20.0,0,109
110,29,29.0,0,110
111,26,26.0,0,111
112,13,13.0,0,112
113,29,29.0,0,113
114,21,21.0,0,114
115,15,15.0,0,115
116,9,9.0,0,116
117,18,18.0,0,117
118,19,19.0,0,118
119,38,38.0,0,119
120,15,15.0,0,120
121,37,37.0,0,121
122,100,100.0,0,122
123,42,42.0,0,123
124,19,19.0,0,124
125,30,30.0,0,125
126,21,21.0,0,126
127,40,40.0,0,127
128,59,59.0,0,128
129,52,52.0,0,129
130,14,14.0,0,130
131,64,64.0,0,131
132,51,51.0,0,132
133,30,30.0,0,133
134,33,33.0,0,134
135,79,79.0,0,135
136,17,17.0,0,136
137,29,29.0,0,137
138,29,29.0,0,138
139,11,11.0,0,139
140,17,17.0,0,140
141,12,12.0,0,141
142,12,12.0,0,142
143,23,23.0,0,143
144,21,21.0,0,144
145,32,32.0,0,145
146,66,66.0,0,146
147,25,25.0,0,147
148,23,23.0,0,148
149,33,33.0,0,149
150,39,39.0,0,150
151,46,46.0,0,151
152,40,40.0,0,152
153,16,16.0,0,153
154,24,24.0,0,154
155,17,17.0,0,155
156,72,72.0,0,156
157,31,31.0,0,157
158,37,37.0,1,158
159,20,20.0,0,159
160,67,67.0,0,160
161,14,14.0,0,161
162,61,61.0,0,162
163,27,27.0,0,163
164,13,13.0,0,164
165,34,34.0,0,165
166,37,37.0,0,166
167,40,40.0,0,167
168,19,19.0,0,168
169,36,36.0,0,169
170,27,27.0,0,170
171,91,91.0,0,171
172,71,71.0,0,172
173,29,29.0,0,173
174,100,100.0,0,174
175,16,16.0,0,175
176,75,75.0,0,176
177,35,35.0,0,177
178,48,48.0,0,178
179,30,30.0,0,179
180,24,24.0,0,180
181,44,44.0,0,181
182,15,15.0,0,182
183,43,43.0,0,183
184,23,23.0,0,184
185,21,21.0,0,185
186,41,41.0,0,186
187,20,20.0,0,187
188,17,17.0,0,188
189,25,25.0,0,189
190,55,55.0,0,190
191,21,21.0,0,191
192,21,21.0,0,192
193,80,80.0,0,193
194,42,42.0,0,194
195,24,24.0,0,195
196,34,34.0,0,196
197,69,69.0,0,197
198,40,40.0,0,198
199,88,88.0,0,199
200,21,21.0,0,200
201,71,71.0,0,201
202,73,73.0,0,202
203,95,95.0,0,203
204,12,12.0,0,204
205,65,65.0,0,205
206,100,100.0,1,206
207,18,18.0,0,207
208,47,47.0,0,208
209,56,56.0,0,209
210,66,66.0,0,210
211,23,23.0,0,211
212,69,69.0,0,212
213,100,100.0,0,213
214,26,26.0,0,214
215,65,65.0,0,215
216,100,100.0,0,216
217,69,69.0,0,217
