,timesteps,ep_reward,num_updates,episodes
0,200,-573.6137799663694,0,0
1,100,-231.99673852882054,0,1
2,200,-442.79460483130293,0,2
3,90,-158.10997518586868,0,3
4,200,-443.5688625367786,0,4
5,200,-535.374376759924,0,5
6,200,-360.4368988704752,0,6
7,200,-429.6515594853213,0,7
8,200,-512.1696380169819,0,8
9,200,-516.9004817085558,0,9
10,200,-605.9627677112636,0,10
11,135,-366.2465385021888,1,11
12,200,-530.1657113307115,0,12
13,38,-81.37302864017194,0,13
14,200,-473.10842843571555,0,14
15,40,-80.48965376531595,0,15
16,200,-468.4541000770113,0,16
17,76,-141.35929773546587,0,17
18,200,-506.7619766304325,0,18
19,200,-456.7063270846775,0,19
20,200,-371.49731101167146,0,20
21,200,-478.510490221703,0,21
22,200,-460.20233084828385,0,22
23,200,-402.4470792575328,1,23
24,200,-494.71050262450194,0,24
25,200,-396.17143803051215,0,25
26,200,-371.08070699293165,0,26
27,200,-408.7581976238091,0,27
28,155,-273.6571836205825,0,28
29,59,-98.7073221174528,0,29
30,200,-380.1374358609634,0,30
31,200,-465.4653489956942,0,31
32,136,-249.91326359186905,0,32
33,200,-468.3695172987266,0,33
34,200,-374.78433581675495,1,34
35,200,-374.84862562568486,0,35
36,59,-112.73989794245793,0,36
37,91,-133.6492598894738,0,37
38,152,-270.73414208748767,0,38
39,179,-313.82642636321356,0,39
40,121,-211.9564354147055,0,40
41,192,-368.5239354466665,0,41
42,137,-254.39658033662477,0,42
43,27,-37.92711496326135,0,43
44,53,-86.4805133686661,0,44
45,200,-389.49876886327115,0,45
46,112,-213.98615109741098,0,46
47,24,-43.1601057732624,0,47
48,57,-115.49618340672909,0,48
49,88,-232.12636035581943,0,49
50,32,-69.01065547693781,0,50
51,164,-270.5174541680092,0,51
52,141,-235.998141066603,1,52
53,73,-111.39093087586578,0,53
54,200,-372.4302189769025,0,54
55,34,-67.9982015688833,0,55
56,200,-388.4476337758335,0,56
57,53,-106.87804599676056,0,57
58,23,-49.4920807084782,0,58
59,200,-401.31022987538097,0,59
60,200,-363.2219820660333,0,60
61,200,-376.3295795565067,0,61
62,35,-57.967368662549916,0,62
